id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore
353130,77,0.0686103031039238,a,2019,Arsenal,Everton,2020-02-23 16:30:00,1,0,0,0,False,2,3
353348,46,0.42222100496292114,h,2019,Everton,Manchester United,2020-03-01 14:00:00,0,0,0,0,False,1,1
353351,56,0.4639450013637543,h,2019,Everton,Manchester United,2020-03-01 14:00:00,0,0,0,0,False,1,1
353354,64,0.04827570170164108,h,2019,Everton,Manchester United,2020-03-01 14:00:00,0,0,0,0,False,1,1
353366,94,0.0355846993625164,h,2019,Everton,Manchester United,2020-03-01 14:00:00,0,0,0,0,False,1,1
353561,54,0.016078999266028404,a,2019,Chelsea,Everton,2020-03-08 14:00:00,0,0,0,0,False,0,4
353567,77,0.07317519932985306,a,2019,Chelsea,Everton,2020-03-08 14:00:00,0,0,0,0,False,0,4
365864,3,0.05843479931354523,h,2019,Everton,Liverpool,2020-06-21 18:00:00,0,0,0,0,False,0,0
365867,31,0.026766899973154068,h,2019,Everton,Liverpool,2020-06-21 18:00:00,0,0,0,0,False,0,0
365869,35,0.03196309879422188,h,2019,Everton,Liverpool,2020-06-21 18:00:00,0,0,0,0,False,0,0
365874,60,0.11971800029277802,h,2019,Everton,Liverpool,2020-06-21 18:00:00,0,0,0,0,False,0,0
365880,81,0.058066099882125854,h,2019,Everton,Liverpool,2020-06-21 18:00:00,0,0,0,0,False,0,0
366313,45,0.041732098907232285,a,2019,Norwich,Everton,2020-06-24 17:00:00,0,0,0,0,False,0,0
366317,59,0.08988810330629349,a,2019,Norwich,Everton,2020-06-24 17:00:00,0,0,0,0,False,1,0
367918,9,0.130854994058609,h,2019,Everton,Leicester,2020-07-01 17:00:00,0,0,0,0,True,0,0
367927,45,0.11641599982976913,h,2019,Everton,Leicester,2020-07-01 17:00:00,1,0,0,0,False,2,0
369333,49,0.028658200055360794,a,2019,Tottenham,Everton,2020-07-06 19:00:00,0,0,0,0,False,0,0
370074,21,0.042815200984478,h,2019,Everton,Southampton,2020-07-09 17:00:00,0,0,1,0,False,0,0
370085,42,0.25399699807167053,h,2019,Everton,Southampton,2020-07-09 17:00:00,0,0,0,0,True,0,1
371866,50,0.04452110081911087,h,2019,Everton,Aston Villa,2020-07-16 17:00:00,0,0,0,0,False,0,0
372921,45,0.04314219951629639,a,2019,Sheffield United,Everton,2020-07-20 17:00:00,0,0,0,0,True,0,0
373718,17,0.03759609907865524,h,2019,Everton,Bournemouth,2020-07-26 15:00:00,0,0,0,0,False,0,1
373721,32,0.02988870069384575,h,2019,Everton,Bournemouth,2020-07-26 15:00:00,0,0,0,0,False,0,1
373727,46,0.023902099579572678,h,2019,Everton,Bournemouth,2020-07-26 15:00:00,0,0,0,0,False,1,2
373734,85,0.052572399377822876,h,2019,Everton,Bournemouth,2020-07-26 15:00:00,0,0,0,0,False,1,3
312554,39,0.05095810070633888,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1
312557,46,0.11591500043869019,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1
312570,80,0.10520800203084946,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,3
315872,1,0.01584780029952526,a,2019,Newcastle United,Watford,2019-08-31 15:00:00,0,0,0,0,False,0,0
315889,63,0.11979600042104721,a,2019,Newcastle United,Watford,2019-08-31 15:00:00,0,0,0,0,False,1,1
315894,84,0.023652900010347366,a,2019,Newcastle United,Watford,2019-08-31 15:00:00,0,0,0,0,False,1,1
318092,10,0.0287896990776062,h,2019,Watford,Arsenal,2019-09-15 15:30:00,0,0,1,0,False,0,0
318093,11,0.019509900361299515,h,2019,Watford,Arsenal,2019-09-15 15:30:00,0,0,1,0,False,0,0
318105,52,0.040680401027202606,h,2019,Watford,Arsenal,2019-09-15 15:30:00,0,0,1,0,False,0,2
318106,52,0.30882298946380615,h,2019,Watford,Arsenal,2019-09-15 15:30:00,0,0,0,0,True,0,2
318121,82,0.08413340151309967,h,2019,Watford,Arsenal,2019-09-15 15:30:00,1,0,0,0,False,2,2
318124,85,0.05797969922423363,h,2019,Watford,Arsenal,2019-09-15 15:30:00,1,0,0,0,False,2,2
318127,90,0.03305689990520477,h,2019,Watford,Arsenal,2019-09-15 15:30:00,1,0,0,0,False,2,2
320465,88,0.057029999792575836,a,2019,Manchester City,Watford,2019-09-21 14:00:00,0,0,0,0,False,0,8
322706,53,0.631667971611023,a,2019,Wolverhampton Wanderers,Watford,2019-09-28 14:00:00,0,0,0,0,False,0,1
369406,65,0.04216970130801201,h,2019,Watford,Norwich,2020-07-07 17:00:00,0,0,0,0,False,2,1
372268,11,0.0448513999581337,a,2019,West Ham,Watford,2020-07-17 19:00:00,0,0,0,0,False,0,2
310516,63,0.02180049940943718,h,2019,Brighton,West Ham,2019-08-17 15:00:00,0,0,0,0,False,0,1
320612,17,0.06630170345306396,a,2019,Newcastle United,Brighton,2019-09-21 16:30:00,0,0,0,0,False,0,0
327223,87,0.05898259952664375,h,2019,Brighton,Everton,2019-10-26 15:00:00,0,0,0,0,False,2,1
331314,28,0.07661490142345428,a,2019,Manchester United,Brighton,2019-11-10 14:00:00,0,0,1,0,False,0,1
331326,63,0.4664340019226074,a,2019,Manchester United,Brighton,2019-11-10 14:00:00,0,0,0,0,True,0,1
333652,36,0.2423419952392578,a,2019,Liverpool,Brighton,2019-11-30 15:00:00,0,0,1,0,False,0,2
333655,53,0.07381170243024826,a,2019,Liverpool,Brighton,2019-11-30 15:00:00,0,0,1,0,False,0,2
333663,78,0.058542400598526,a,2019,Liverpool,Brighton,2019-11-30 15:00:00,0,0,0,0,True,0,2
335210,61,0.132192000746727,a,2019,Arsenal,Brighton,2019-12-05 20:15:00,0,0,0,0,False,1,1
336496,2,0.04688969999551773,h,2019,Brighton,Wolverhampton Wanderers,2019-12-08 16:30:00,0,0,0,0,False,0,0
337936,21,0.049486998468637466,a,2019,Crystal Palace,Brighton,2019-12-16 19:45:00,0,0,0,0,False,0,0
337955,82,0.12019699811935425,a,2019,Crystal Palace,Brighton,2019-12-16 19:45:00,0,0,0,0,False,1,1
338603,20,0.0443991981446743,h,2019,Brighton,Sheffield United,2019-12-21 15:00:00,0,0,0,0,False,0,0
338609,66,0.10548900067806244,h,2019,Brighton,Sheffield United,2019-12-21 15:00:00,0,0,0,0,False,0,1
351422,94,0.0684966966509819,h,2019,Brighton,Chelsea,2020-01-01 12:30:00,0,0,0,0,False,1,1
351722,2,0.5966010093688965,a,2019,Everton,Brighton,2020-01-11 15:00:00,0,0,0,0,False,0,0
351743,82,0.1745389997959137,a,2019,Everton,Brighton,2020-01-11 15:00:00,0,0,0,0,False,0,1
352020,95,0.023373300209641457,h,2019,Brighton,Aston Villa,2020-01-18 15:00:00,0,0,0,0,False,1,1
352164,60,0.009135009720921516,a,2019,Bournemouth,Brighton,2020-01-21 19:30:00,0,0,0,0,False,0,1
352166,64,0.3503209948539734,a,2019,Bournemouth,Brighton,2020-01-21 19:30:00,0,0,0,0,False,0,1
352451,82,0.053279001265764236,a,2019,West Ham,Brighton,2020-02-01 15:00:00,0,0,0,0,False,2,3
352685,68,0.02250160090625286,h,2019,Brighton,Watford,2020-02-08 17:30:00,0,0,0,0,False,0,1
352931,50,0.09941589832305908,a,2019,Sheffield United,Brighton,2020-02-22 15:00:00,0,0,0,0,False,1,1
353201,17,0.14357499778270721,h,2019,Brighton,Crystal Palace,2020-02-29 12:30:00,0,0,0,0,False,0,0
353203,21,0.060831598937511444,h,2019,Brighton,Crystal Palace,2020-02-29 12:30:00,0,0,0,0,False,0,0
353212,47,0.12873700261116028,h,2019,Brighton,Crystal Palace,2020-02-29 12:30:00,0,0,0,0,False,0,0
365501,74,0.14153900742530823,h,2019,Brighton,Arsenal,2020-06-20 14:00:00,0,0,0,0,True,0,1
366079,43,0.03827600181102753,a,2019,Leicester,Brighton,2020-06-23 17:00:00,0,0,0,0,False,0,0
369891,73,0.1365630030632019,h,2019,Brighton,Liverpool,2020-07-08 19:15:00,0,0,0,0,False,1,2
370583,41,0.029058700427412987,h,2019,Brighton,Manchester City,2020-07-11 19:00:00,0,0,0,0,False,0,1
372895,11,0.07955139875411987,h,2019,Brighton,Newcastle United,2020-07-20 17:00:00,0,0,0,0,False,0,0
309902,30,0.11204399913549423,h,2019,Liverpool,Norwich,2019-08-09 20:00:00,0,0,0,0,False,2,0
309905,46,0.045728400349617004,h,2019,Liverpool,Norwich,2019-08-09 20:00:00,0,0,0,0,False,3,0
309907,47,0.6854050159454346,h,2019,Liverpool,Norwich,2019-08-09 20:00:00,0,0,0,0,False,3,0
309914,70,0.09527649730443954,h,2019,Liverpool,Norwich,2019-08-09 20:00:00,0,0,0,0,False,3,1
310457,64,0.3586080074310303,a,2019,Southampton,Liverpool,2019-08-17 15:00:00,0,0,1,0,False,1,0
310459,70,0.08791559934616089,a,2019,Southampton,Liverpool,2019-08-17 15:00:00,0,0,0,0,True,1,0
312705,22,0.09224479645490646,h,2019,Liverpool,Arsenal,2019-08-24 17:30:00,0,0,0,0,False,0,0
312713,39,0.03467020019888878,h,2019,Liverpool,Arsenal,2019-08-24 17:30:00,0,0,0,0,False,0,0
312717,46,0.04536319896578789,h,2019,Liverpool,Arsenal,2019-08-24 17:30:00,0,0,0,0,False,1,0
