,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,IsPenalty,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
5236,294155,14,0.465380996465683,a,2018,Crystal Palace,Manchester City,Raheem Sterling,2019-04-14 14:05:00,0,0,1,0,True,0,0,0.4872649908065796,2.148777039875842,0,False,0.8130081300813008,0.07639419404125286,False,-1,0,False,True,0.0,-0.15094339622641506,0.0,0.0
5238,294167,62,0.4799970090389251,a,2018,Crystal Palace,Manchester City,Raheem Sterling,2019-04-14 14:05:00,1,0,0,0,True,1,0,0.9786624871194364,2.083346315016112,0,False,0.8130081300813008,0.07639419404125286,True,-1,1,False,False,0.0,-1.0,1.0,0.0
5240,294924,70,0.4380129873752594,h,2018,Manchester City,Tottenham,Raheem Sterling,2019-04-20 12:30:00,0,0,0,0,False,1,0,0.0,0.0,1,False,0.7874015748031495,0.09267840593141799,False,2,1,False,False,0.0,-1.0,1.0,0.0
5247,300379,51,0.4532470107078552,h,2018,Manchester City,Leicester,Raheem Sterling,2019-05-06 19:00:00,0,0,0,0,False,0,0,0.0203594993799924,0.0,1,False,0.8547008547008548,0.06640106241699867,True,-1,0,False,True,0.0,0.30434782608695654,0.0,0.0
5256,233893,20,0.3915919959545135,h,2018,Southampton,Brighton,Wesley Hoedt,2018-09-17 19:00:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.5025125628140703,0.23640661938534277,True,-1,0,False,True,0.0,-0.09999999999999998,0.0,0.0
5280,299852,77,0.2809660136699676,a,2018,Chelsea,Watford,José Holebas,2019-05-05 13:00:00,0,0,0,0,False,0,3,0.0454930998384952,0.0,0,False,0.0945179584120983,0.7692307692307692,True,2,-3,False,False,0.0,-1.0,0.0,3.0
5300,250899,93,0.3131040036678314,h,2018,Fulham,Leicester,Denis Odoi,2018-12-05 19:45:00,0,0,0,0,False,1,1,0.0450745001435279,0.0,1,False,0.35842293906810035,0.37593984962406013,False,2,0,False,True,0.0,2.3333333333333335,0.0,0.0
5333,293548,79,0.6049079895019531,h,2018,Southampton,Wolverhampton Wanderers,Jan Bednarek,2019-04-13 15:00:00,0,0,0,0,False,3,1,0.0,0.0,1,False,0.36900369003690037,0.35335689045936397,False,-1,2,False,False,0.0,-1.0,2.0,0.0
5352,250797,34,0.7611690163612366,a,2018,West Ham,Cardiff,Joe Ralls,2018-12-04 19:45:00,0,0,0,0,False,0,0,0.0162317007780075,0.0,0,True,0.17953321364452424,0.6024096385542169,True,-1,0,False,True,0.0,0.04651162790697683,0.0,0.0
5365,232947,43,0.7611690163612366,h,2018,Brighton,Manchester United,Pascal Groß,2018-08-19 18:00:00,0,0,0,0,True,2,1,0.0,1.313768661762526,1,True,0.1694915254237288,0.591715976331361,False,2,1,False,False,0.0,-1.0,1.0,0.0
5366,233337,88,0.314285010099411,a,2018,Liverpool,Brighton,Pascal Groß,2018-08-25 19:30:00,0,0,0,0,False,0,1,0.0,0.0,0,False,0.052056220718375845,0.8695652173913044,False,-1,-1,True,False,0.0,1.8125,0.0,1.0
5367,233471,24,0.7611690163612366,h,2018,Brighton,Fulham,Pascal Groß,2018-09-01 14:00:00,0,0,0,0,False,0,0,0.0,0.0,1,True,0.4587155963302752,0.28653295128939826,True,-1,0,False,True,0.0,-0.0625,0.0,0.0
5376,274721,71,0.299560010433197,a,2018,Manchester United,Brighton,Pascal Groß,2019-01-19 15:00:00,0,0,0,0,True,0,2,0.0579797998070716,3.338229286859381,0,False,0.10504201680672269,0.7352941176470588,True,-1,-2,False,False,0.0,-1.0,0.0,2.0
5386,297534,74,0.4561719894409179,h,2018,Brighton,Newcastle United,Pascal Groß,2019-04-27 17:30:00,0,0,0,0,True,0,1,0.0,2.192155641177344,1,False,0.4566210045662101,0.27624309392265195,False,-1,-1,True,False,0.0,0.9565217391304348,0.0,1.0
5388,300129,84,0.4796749949455261,a,2018,Arsenal,Brighton,Pascal Groß,2019-05-05 15:30:00,0,0,0,0,False,1,1,0.0896902978420257,0.0,0,False,0.08410428931875526,0.7874015748031495,True,-1,0,False,True,0.0,1.5,0.0,0.0
5391,274559,8,0.3272869884967804,h,2018,Tottenham,Manchester United,Harry Winks,2019-01-13 16:30:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.4854368932038835,0.27027027027027023,True,-1,0,False,True,0.0,-0.1964285714285714,0.0,0.0
5395,274858,92,0.6077460050582886,a,2018,Fulham,Tottenham,Harry Winks,2019-01-20 16:00:00,0,0,0,0,True,1,0,0.0194864999502897,1.6454242260368137,0,False,0.5882352941176471,0.18248175182481752,False,2,1,False,False,0.0,-1.0,1.0,0.0
5400,233135,83,0.4589160084724426,h,2018,Manchester City,Huddersfield,Leroy Sané,2018-08-19 15:30:00,0,0,0,0,False,5,1,0.0553127005696296,0.0,1,False,0.9259259259259258,0.030395136778115502,True,2,4,False,False,0.0,-1.0,4.0,0.0
5401,233836,1,0.5430189967155457,h,2018,Manchester City,Fulham,Leroy Sané,2018-09-15 14:00:00,0,0,0,0,True,0,0,0.0,1.8415561997803158,1,False,0.9174311926605504,0.034891835310537335,False,-1,0,False,True,0.0,-0.24369747899159666,0.0,0.0
5404,234091,58,0.3837890028953552,a,2018,Cardiff,Manchester City,Leroy Sané,2018-09-22 14:00:00,0,0,0,0,False,3,0,0.1168679967522621,0.0,0,False,0.8695652173913044,0.04861448711716091,False,-1,3,False,False,0.0,-1.0,3.0,0.0
5410,249350,89,0.4748899936676025,h,2018,Manchester City,Burnley,Leroy Sané,2018-10-20 14:00:00,0,0,0,0,True,4,0,0.1381495036184787,2.105750833528715,1,False,0.9345794392523364,0.033211557622052475,False,2,4,False,False,0.0,-1.0,4.0,0.0
5412,249950,86,0.1752340048551559,h,2018,Manchester City,Southampton,Leroy Sané,2018-11-04 15:00:00,0,0,1,0,False,4,1,0.0366719998419284,0.0,1,False,0.9009009009009008,0.03881987577639751,True,-1,3,False,False,0.0,-1.0,3.0,0.0
5415,250260,33,0.9469469785690308,a,2018,West Ham,Manchester City,Leroy Sané,2018-11-24 15:00:00,0,0,1,0,True,2,0,0.0,1.0560253347142412,0,False,0.8064516129032259,0.0827129859387924,True,2,2,False,False,0.0,-1.0,2.0,0.0
5421,250816,10,0.3130959868431091,a,2018,Watford,Manchester City,Leroy Sané,2018-12-04 20:00:00,0,0,1,0,False,0,0,0.0,0.0,0,False,0.7352941176470588,0.11350737797956867,True,-1,0,False,True,0.0,-0.18181818181818177,0.0,0.0
5422,250824,39,0.2866050004959106,a,2018,Watford,Manchester City,Leroy Sané,2018-12-04 20:00:00,0,0,0,0,True,0,0,0.3130959868431091,3.489122654069912,0,False,0.7352941176470588,0.11350737797956867,False,-1,0,False,True,0.0,0.11111111111111116,0.0,0.0
5437,274825,55,0.3032119870185852,a,2018,Huddersfield,Manchester City,Leroy Sané,2019-01-20 13:30:00,0,0,0,0,True,2,0,0.0,3.2980226469038163,0,False,0.8928571428571428,0.041841004184100423,False,-1,2,False,False,0.0,-1.0,2.0,0.0
5441,284676,78,0.2286120057106018,h,2018,Manchester City,Watford,Leroy Sané,2019-03-09 17:30:00,0,0,0,0,False,3,1,0.0479859001934528,0.0,1,False,0.9009009009009008,0.043478260869565216,False,-1,2,False,False,0.0,-1.0,2.0,0.0
5461,249249,25,0.1717260032892227,a,2018,Wolverhampton Wanderers,Watford,Gerard Deulofeu,2018-10-20 14:00:00,0,0,0,0,False,2,0,0.0,0.0,0,False,0.18867924528301888,0.5586592178770949,False,-1,2,False,False,0.0,-1.0,2.0,0.0
5467,249810,23,0.3896619975566864,a,2018,Newcastle United,Watford,Gerard Deulofeu,2018-11-03 15:00:00,0,0,0,0,False,0,0,0.096629798412323,0.0,0,False,0.3623188405797102,0.36363636363636365,False,-1,0,False,True,0.0,-0.07216494845360821,0.0,0.0
5468,249813,26,0.2917490005493164,a,2018,Newcastle United,Watford,Gerard Deulofeu,2018-11-03 15:00:00,0,0,0,0,False,0,0,0.4862917959690094,0.0,0,False,0.3623188405797102,0.36363636363636365,False,-1,0,False,True,0.0,-0.04255319148936165,0.0,0.0
5470,250022,3,0.3197259902954101,a,2018,Southampton,Watford,Gerard Deulofeu,2018-11-10 15:00:00,0,0,0,0,False,0,0,0.0,0.0,0,False,0.3021148036253776,0.4366812227074236,False,2,0,False,True,0.0,-0.23076923076923073,0.0,0.0
5475,251288,15,0.3899019956588745,h,2018,Watford,Cardiff,Gerard Deulofeu,2018-12-15 15:00:00,0,0,0,0,True,0,0,0.0410020016133785,2.564747067555152,1,False,0.5952380952380952,0.18050541516245489,True,2,0,False,True,0.0,-0.1428571428571429,0.0,0.0
5477,251553,86,0.3984709978103637,a,2018,West Ham,Watford,Gerard Deulofeu,2018-12-22 15:00:00,0,0,0,0,True,1,0,0.0,2.5095929327230735,0,False,0.3401360544217687,0.4115226337448559,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5479,263540,15,0.2966189980506897,h,2018,Watford,Newcastle United,Gerard Deulofeu,2018-12-29 15:00:00,0,0,0,0,False,0,0,0.0552931018173694,0.0,1,False,0.5747126436781609,0.19047619047619047,False,-1,0,False,True,0.0,-0.1428571428571429,0.0,0.0
5482,274390,2,0.3478890061378479,a,2018,Crystal Palace,Watford,Gerard Deulofeu,2019-01-12 15:00:00,0,0,0,0,False,0,0,0.0,0.0,0,False,0.3021148036253776,0.4329004329004329,False,-1,0,False,True,0.0,-0.23728813559322037,0.0,0.0
5483,274402,39,0.1878979951143264,a,2018,Crystal Palace,Watford,Gerard Deulofeu,2019-01-12 15:00:00,0,0,0,0,False,0,0,0.3478890061378479,0.0,0,False,0.3021148036253776,0.4329004329004329,False,-1,0,False,True,0.0,0.11111111111111116,0.0,0.0
5485,274743,1,0.3012849986553192,h,2018,Watford,Burnley,Gerard Deulofeu,2019-01-19 15:00:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.5882352941176471,0.18656716417910446,False,2,0,False,True,0.0,-0.24369747899159666,0.0,0.0
5492,275702,60,0.8110809922218323,a,2018,Cardiff,Watford,Gerard Deulofeu,2019-02-22 19:45:00,1,0,1,0,True,1,0,0.0804682001471519,1.2329224942883361,0,False,0.4166666666666667,0.31545741324921134,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5493,275703,62,0.4892599880695343,a,2018,Cardiff,Watford,Gerard Deulofeu,2019-02-22 19:45:00,1,0,0,0,True,2,0,0.8915491923689842,2.043903087079908,0,False,0.4166666666666667,0.31545741324921134,True,-1,2,False,False,0.0,-1.0,2.0,0.0
5497,284672,65,0.3462440073490143,a,2018,Manchester City,Watford,Gerard Deulofeu,2019-03-09 17:30:00,0,0,0,0,True,0,3,0.0,2.8881366284326737,0,False,0.043478260869565216,0.9009009009009008,False,-1,-3,False,False,0.0,-1.0,0.0,3.0
5506,295301,79,0.3813390135765075,a,2018,Huddersfield,Watford,Gerard Deulofeu,2019-04-20 15:00:00,1,0,0,0,True,1,0,0.2500239014625549,2.622338560697439,0,False,0.5128205128205129,0.24570024570024568,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5519,301193,45,0.5483400225639343,h,2018,Watford,West Ham,Gerard Deulofeu,2019-05-12 14:00:00,0,0,0,0,True,0,2,0.1027814000844955,1.8236859591685264,1,False,0.4807692307692307,0.2898550724637681,False,-1,-2,False,False,0.0,-1.0,0.0,2.0
5533,232888,71,0.2985790073871612,h,2018,Southampton,Burnley,Jack Stephens,2018-08-12 15:30:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.5050505050505051,0.22075055187637968,False,-1,0,False,True,0.0,0.8367346938775511,0.0,0.0
5538,274737,80,0.2836500108242035,h,2018,Southampton,Everton,Jack Stephens,2019-01-19 15:00:00,0,0,0,0,False,1,0,0.0,0.0,1,False,0.3484320557491289,0.39370078740157477,True,-1,1,False,False,0.0,-1.0,1.0,0.0
5539,275483,90,0.7197579741477966,h,2018,Southampton,Cardiff,Jack Stephens,2019-02-09 15:00:00,0,0,0,0,True,0,1,0.0,1.3893559167357803,1,False,0.5494505494505494,0.20202020202020202,False,-1,-1,True,False,0.0,2.0,0.0,1.0
5551,250959,25,0.2653529942035675,a,2018,Manchester United,Arsenal,Shkodran Mustafi,2018-12-05 20:00:00,0,0,0,0,True,0,0,0.0,3.7685649751245793,0,False,0.33222591362126247,0.41493775933609955,False,-1,0,False,True,0.0,-0.052631578947368474,0.0,0.0
